RUN;Nombre;"Apellido P";telefono;"email personal";"email  institucional";DEDICACIÓN;CONTRATO;DIURNO;VESPERTINO;SEDE;CARRERA;"GRADO ACADÉMICO";"JERARQUÍA ";CARGO;ESTAMENTO
19156759;;;;;;40;"FULL TIME";;;;;;;"Secretaria (o)";Administrativo
15059751;Rufus;Scrimgeour;456789022;rufus.scrimgeour.devia@coldmail.com;rufus.scrimgeour.devia@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;LICENCIATURA;"TITULAR REGULAR";;
21423313;Séptima;Vector;789012355;septima.vector@yeeha.com;septima.vector@lamejor.com;;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;DOCTOR;"ASISTENTE DOCENTE";"Director (a) Formación Cont. y Postgra";
20082984;Vernon;Dursley;789012356;vernon.dursley.renard@yeeha.com;vernon.dursley.renard@lamejor.com;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";;
22035082;JK;Rowling;456789021;hkrowling@editorial.edito;hkrowling@lamejor.com;;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;;"ASOCIADO DOCENTE";"Profesor por Jornada";
17241044;Voldemort;SeñorOscuro;234567902;voldemort.senoroscuros.elinnombrable@gmall.com;voldemort.senoroscuros.elinnombrable@lamejor.com;-1;"FULL TIME";diurno;;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO REGULAR";"Profesor por Jornada";
19457329;Fleur;Delacour;678901238;fleur.delacour.diaz@gmall.com;fleur.delacour.diaz@lamejor.com;;"FULL TIME";diurno;vespertino;BEAUXBATON;;LICENCIATURA;"INSTRUCTORA DOCENTE";"Secretaria Estudios";
23677609;Daphne;Greengrass;345678904;daphne.greengrass@michea.com;daphne.greengrass@lamejor;;HONORARIO;diurno;;BEAUXBATON;;MAGISTER;"INSTRUCTOR DOCENTE";;
15089005;Bellatrix;Lestrange;234567892;bellatrix.lestrange.beltran@gmall.com;bellatrix.lestrange.beltran@lamejor.com;;HONORARIO;diurno;;;;MAGISTER;"TITULAR REGULAR";;
24017462;Steve;" Kloves";;;;;;;;;;;;;
12684784-K;;;;;;40;;;;;;;;"Secretario (a) de Dirección";Administrativo
19064170;Gilderoy;Lockhart;901234571;gilderoy.lockhart@yeeha.com;gilderoy.lockhart@lamejor.com;;HONORARIO;diurno;;BEAUXBATON;HECHICERÍA;"DOCTOR ";"ASISTENTE DOCENTE";;
16789372;Ernie;Macmillan;345678905;ernie.macmillan@riquelme.com;ernie.macmillan@lamejor;;"FULL TIME";diurno;;BEAUXBATON;HECHICERÍA;MAGISTER;"ASOCIADO DOCENTE";"Director(a) Carrera (i)";
17043066;Minerva;McGonagall;;minerva.mcgonagall@gmall.com;minerva.mcgonagall@lamejor.com;;HONORARIO;diurno;;;;MAGISTER;"ASISTENTE DOCENTE";;
9866866;Luna;Lovegood;456789019;luna.lovegood.diaz@yeeha.com;luna.lovegood.diaz@lamejor.com;;;diurno;;HOGWARTS;MAGIA;MAGISTER;"INSTRUCTOR DOCENTE";;
22073090;Dennis;Creevey;;dennis.creevey.nash@gmall.com;dennis.creevey.nash@lamejor.com;;;;;;;MAGISTER;;;
7777777;"EDUARDO SANTIAGO";BUSTOS;BAHAMONDE;eb@uc.cl;eb@lamejor.cl;80;;"A VECES";TAMBIEN;HOGWARTS;;;BAJA;JUNIOR;administrativo
13689982;Remus;Lupin;789012354;remus.lupin@coldmail.com;remus.lupin@lamejor.com;;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";"Profesor por Jornada";
8270690;Vincent;Crabbe;901234578;vincent.crabbe.piturra@gmall.com;vincent.crabbe.piturra@lamejor.com;;HONORARIO;;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";;
15647936;;;;;;;HONORARIO;;;;;MAGISTER;"INSTRUCTOR DOCENTE";"Profesor por Jornada";
7682646;Dudley;Dursley;234567894;dudley.dursley.plaza@coldmail.com;dudley.dursley.plaza@lamejor.com;;HONORARIO;;;BEAUXBATON;HECHICERÍA;MAGISTER;"INSTRUCTOR DOCENTE";;
6666666;Voldemort;SeñorOscuro;567890123;voldemort.senoroscuros@elinnombrable.com;voldemort.senoroscuros.elinnombrable@lamejor.com;;GRATIS;diurno;;;;" LICENCIATURA";;VACANTE;
9808360;Firenze;;;firenze@yeeha.com;firenze@lamejor.com;;;;;;;;;;
19036378;Lee;Jordan;;lee.jordan.marin@yeeha.com;lee.jordan.marin@lamejor.com;;;;;;;;;;
12114054;Justin;Finch-Fletchley;;justin.finch-fletchley@latorre.com;justin.finch-fletchley@@lamejor;;;;;;;;;;
21103479;Harry;Potter;;harry.potter.badilla@yeeha.com;harry.potter.badilla@lamejor.com;;;;;;;DOCTOR;;;
21673365;Irman.;Pince;;irma.pince@coldmail.com;irma.pince@lamejor.com;;;;;;;;;;
13827502;Remus;Lupin;678901243;remus.lupin.barrientos@yeeha.com;remus.lupin.barrientos@lamejor.com;;"FULL TIME";diurno;;HOGWARTS;MAGIA;MAGISTER;"TITULAR DOCENTE";"Profesor 1/2 Jornada";
11057406;Filius;Flitwick;456789016;filius.flitwick@coldmail.com;filius.flitwick@lamejor.com;;HONORARIO;diurno;;BEAUXBATON;HECHICERÍA;MAGISTER;"SIN JERARQUIZAR";;
12972527;Seamus;Finnigan;678901244;seamus.finnigan.contreras@coldmail.com;seamus.finnigan.contreras@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";;
100;POR;DESIGNAR;;;;;;;;;;MAGISTER;"ASISTENTE REGULAR";;
4010;POR;DESIGNAR;;;;;;;;;;;;;
17922276;;;;;;40;"FULL TIME";;;;;;;"Secretaria (o)";Administrativo
7900381;Viktor;Krum;890123467;viktor.krum.duran@yeeha.com;viktor.krum.duran@lamejor.com;;"FULL TIME";diurno;;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";"Profesor 1/2 Jornada";
12791816;Xenophilius;Lovegood;456789024;xenophilius.lovegood.gonzalez@coldmail.com;xenophilius.lovegood.gonzalez@lamejor.com;;HONORARIO;;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";;
14064936;Angelina;Johnson;456789013;angelina.johnson.reyes@yeeha.com;angelina.johnson.reyes@lamejor.com;;HONORARIO;diurno;;BEAUXBATON;MAGIA;LICENCIATURA;"SIN JERARQUIZAR";;
111861590;;;;;;40;"FULL TIME";;;;;;;"Secretaria - Escuela";Administrativo
